NAME,YYMMDD,HOUR,Wind_Speed,ID,DELV24,PER,SHRD,POT,PC2
ALEX,980727,12,25,AL011998,5,9999,6.3,-101,-58
ALEX,980727,18,25,AL011998,5,9999,11.2,-102,-10
ALEX,980728,0,25,AL011998,10,0,8.6,-105,-3
ALEX,980728,6,25,AL011998,10,0,12.2,-100,-44
ALEX,980728,12,30,AL011998,5,5,10.5,-89,-46
ALEX,980728,18,30,AL011998,5,5,9.7,-86,36
ALEX,980729,0,35,AL011998,0,5,9.9,-80,-6
ALEX,980729,6,35,AL011998,5,5,10.6,-75,7
ALEX,980729,12,35,AL011998,5,0,5.8,-73,99
ALEX,980729,18,35,AL011998,10,0,7.5,-75,-6
ALEX,980730,0,35,AL011998,10,0,7.9,-79,48
ALEX,980730,6,40,AL011998,5,5,6.1,-83,-19
ALEX,980730,12,40,AL011998,5,5,7,-88,-29
ALEX,980730,18,45,AL011998,-5,5,7.9,-84,-53
ALEX,980731,0,45,AL011998,-10,5,6.9,-84,-21
ALEX,980731,6,45,AL011998,-10,0,10.1,-88,2
ALEX,980731,12,45,AL011998,-5,0,9.1,-87,79
ALEX,980731,18,40,AL011998,0,-5,9.5,-91,167
ALEX,980801,0,35,AL011998,0,-10,15.7,-101,192
ALEX,980801,6,35,AL011998,0,-5,15.5,-105,100
ALEX,980801,12,40,AL011998,-5,5,20.3,-101,187
ALEX,980801,18,40,AL011998,-10,5,18.1,-100,55
ALEX,980802,0,35,AL011998,9999,-5,20.7,-103,183
ALEX,980802,6,35,AL011998,9999,-5,21.4,-105,226
ALEX,980802,12,35,AL011998,9999,0,24.4,-105,228
ALEX,980802,18,30,AL011998,9999,-5,18.1,-110,9999
BONN,980819,12,25,AL021998,10,9999,4.4,-115,9999
BONN,980819,18,30,AL021998,5,9999,14,-105,-53
BONN,980820,0,30,AL021998,10,5,10.8,-108,34
BONN,980820,6,30,AL021998,15,0,1.2,-112,-34
BONN,980820,12,35,AL021998,15,5,7.9,-110,-4
BONN,980820,18,35,AL021998,20,5,14.1,-108,-47
BONN,980821,0,40,AL021998,25,5,10.2,-97,-43
BONN,980821,6,45,AL021998,25,10,10.3,-92,-3
BONN,980821,12,50,AL021998,25,10,7.4,-89,5
BONN,980821,18,55,AL021998,30,10,9.1,-78,-81
BONN,980822,0,65,AL021998,25,15,1.5,-77,-143
BONN,980822,6,70,AL021998,25,15,7.9,-70,-145
BONN,980822,12,75,AL021998,25,10,1.1,-64,-169
BONN,980822,18,85,AL021998,15,15,8.1,-52,-178
BONN,980823,0,90,AL021998,10,15,15.7,-45,-156
BONN,980823,6,95,AL021998,5,10,25.2,-43,-143
BONN,980823,12,100,AL021998,0,10,22.7,-41,-131
BONN,980823,18,100,AL021998,0,5,21.7,-42,-114
BONN,980824,0,100,AL021998,0,0,27.2,-45,-130
BONN,980824,6,100,AL021998,0,0,24.3,-49,-139
BONN,980824,12,100,AL021998,0,0,32,-47,-141
BONN,980824,18,100,AL021998,0,0,25.5,-45,-133
BONN,980825,0,100,AL021998,0,0,29.8,-48,-96
BONN,980825,6,100,AL021998,0,0,19.8,-48,-43
BONN,980825,12,100,AL021998,0,0,15.8,-48,-4
BONN,980825,18,100,AL021998,0,0,9.2,-45,-29
BONN,980826,0,100,AL021998,-5,0,5.5,-48,-31
BONN,980826,6,100,AL021998,-15,0,5.8,-40,-40
BONN,980826,12,100,AL021998,-25,0,7.7,-28,-56
BONN,980826,18,100,AL021998,-40,0,3.9,-16,-104
BONN,980827,0,95,AL021998,-30,-5,8.3,-19,-68
BONN,980827,6,85,AL021998,-10,-15,6.4,-12,-27
BONN,980827,12,75,AL021998,-10,9999,5.7,-17,-32
BONN,980827,18,60,AL021998,0,9999,4.4,-21,-18
BONN,980828,0,65,AL021998,-20,9999,11.3,-10,23
BONN,980828,6,75,AL021998,-30,9999,12.6,0,21
BONN,980828,12,65,AL021998,-20,0,14.4,-7,59
BONN,980828,18,60,AL021998,-15,-15,3.6,-4,58
BONN,980829,0,45,AL021998,0,-20,10.9,-14,100
BONN,980829,6,45,AL021998,0,-15,20.6,11,85
BONN,980829,12,45,AL021998,0,0,24.2,26,78
BONN,980829,18,45,AL021998,9999,0,29.6,42,89
BONN,980830,0,45,AL021998,9999,0,36.8,38,121
BONN,980830,6,45,AL021998,9999,0,48.7,31,135
BONN,980830,12,45,AL021998,9999,0,53.6,29,183
CHAR,980821,6,25,AL031998,35,9999,5.6,-139,58
CHAR,980821,12,30,AL031998,5,9999,6.7,-133,45
CHAR,980821,18,40,AL031998,-10,15,14.1,-117,-7
CHAR,980822,0,45,AL031998,-20,15,14.5,-96,1
CHAR,980822,6,60,AL031998,-40,20,7.3,-81,-13
CHAR,980822,12,35,AL031998,-15,9999,15.3,-103,-30
CHAR,980822,18,30,AL031998,-10,9999,11.5,-108,22
CHAR,980823,0,25,AL031998,-5,9999,10.4,-109,20
CHAR,980823,6,20,AL031998,9999,9999,11.7,-124,64
CHAR,980823,12,20,AL031998,9999,9999,12.1,-130,65
CHAR,980823,18,20,AL031998,9999,9999,3.5,-117,76
CHAR,980824,0,20,AL031998,9999,9999,13.4,-107,9999
DANI,980824,6,25,AL041998,25,9999,5.4,-104,-30
DANI,980824,12,30,AL041998,35,9999,6.5,-96,-32
DANI,980824,18,35,AL041998,40,10,7.1,-90,-61
DANI,980825,0,40,AL041998,40,10,7.4,-79,-19
DANI,980825,6,50,AL041998,40,15,1.7,-67,-16
DANI,980825,12,65,AL041998,20,25,5.2,-50,-16
DANI,980825,18,75,AL041998,5,25,9.5,-41,-64
DANI,980826,0,80,AL041998,0,15,10.4,-40,-87
DANI,980826,6,90,AL041998,-5,15,8.4,-37,-93
DANI,980826,12,85,AL041998,5,5,9.7,-46,-94
DANI,980826,18,80,AL041998,5,-10,17.3,-49,-99
DANI,980827,0,80,AL041998,0,-5,14.6,-47,-76
DANI,980827,6,85,AL041998,-5,5,10.3,-45,-99
DANI,980827,12,90,AL041998,-10,10,11.1,-41,-111
DANI,980827,18,85,AL041998,-5,0,3.1,-46,-96
DANI,980828,0,80,AL041998,-5,-10,8.9,-54,-80
DANI,980828,6,80,AL041998,-10,-5,13.9,-56,-11
DANI,980828,12,80,AL041998,-10,0,4.6,-61,-37
DANI,980828,18,80,AL041998,-10,0,5.5,-63,-36
DANI,980829,0,75,AL041998,-10,-5,3,-58,-44
DANI,980829,6,70,AL041998,-5,-10,2.4,-61,-7
DANI,980829,12,70,AL041998,-5,-5,7,-58,-78
DANI,980829,18,70,AL041998,-5,0,12,-48,-86
DANI,980830,0,65,AL041998,5,-5,8.7,-50,-35
DANI,980830,6,65,AL041998,10,-5,5.2,-52,40
DANI,980830,12,65,AL041998,25,0,6.9,-55,50
DANI,980830,18,65,AL041998,20,0,5,-55,-57
DANI,980831,0,70,AL041998,15,5,7.7,-50,-49
DANI,980831,6,75,AL041998,10,10,9.8,-47,14
DANI,980831,12,90,AL041998,-5,20,10.9,-30,-2
DANI,980831,18,85,AL041998,5,10,15.3,-26,-13
DANI,980901,0,85,AL041998,-5,-5,17.7,-27,-19
DANI,980901,6,85,AL041998,-10,0,16.9,-32,-39
DANI,980901,12,85,AL041998,-15,0,33,-36,-33
DANI,980901,18,90,AL041998,-20,5,26,-28,-77
DANI,980902,0,80,AL041998,-10,-5,34,-41,-68
DANI,980902,6,75,AL041998,-5,-15,39.7,-46,-72
DANI,980902,12,70,AL041998,0,-10,25.8,-53,-56
DANI,980902,18,70,AL041998,-5,-5,23,-38,-54
DANI,980903,0,70,AL041998,9999,0,26.5,-31,-3
DANI,980903,6,70,AL041998,9999,0,27,17,-17
DANI,980903,12,70,AL041998,9999,0,32.5,44,-6
DANI,980903,18,65,AL041998,9999,-5,31.2,56,2
EARL,980831,12,30,AL051998,15,9999,9.1,-128,-3
EARL,980831,18,35,AL051998,15,9999,8.8,-115,1
EARL,980901,0,35,AL051998,15,5,8.5,-114,-8
EARL,980901,6,40,AL051998,10,5,16.4,-117,40
EARL,980901,12,45,AL051998,25,10,14,-117,-125
EARL,980901,18,50,AL051998,35,10,11.3,-102,-19
EARL,980902,0,50,AL051998,30,5,22.9,-102,-37
EARL,980902,6,50,AL051998,20,0,25.5,-113,-54
EARL,980902,12,70,AL051998,-25,20,32.2,-99,-84
EARL,980902,18,85,AL051998,9999,35,25.1,-75,-20
EARL,980903,0,80,AL051998,9999,10,31.2,-78,44
EARL,980903,6,70,AL051998,9999,-15,31.8,-77,87
EARL,980903,12,45,AL051998,9999,9999,32.9,-82,53
FRAN,980908,18,30,AL061998,5,9999,18.4,-118,9999
FRAN,980909,0,30,AL061998,10,9999,19.9,-115,63
FRAN,980909,6,30,AL061998,10,0,15.9,-123,42
FRAN,980909,12,30,AL061998,15,0,15.4,-127,41
FRAN,980909,18,35,AL061998,10,5,11,-112,74
FRAN,980910,0,40,AL061998,15,10,7.1,-95,3
FRAN,980910,6,40,AL061998,5,5,2.2,-115,37
FRAN,980910,12,45,AL061998,-5,5,0.8,-120,63
FRAN,980910,18,45,AL061998,-10,5,7.6,-112,-90
FRAN,980911,0,55,AL061998,-25,10,11.2,-100,-77
FRAN,980911,6,45,AL061998,-15,0,12,-78,-66
FRAN,980911,12,40,AL061998,-10,9999,12.8,-85,-32
FRAN,980911,18,35,AL061998,-5,9999,8.2,-118,46
FRAN,980912,0,30,AL061998,-5,9999,11.7,-97,90
FRAN,980912,6,30,AL061998,-10,9999,17.8,-86,140
FRAN,980912,12,30,AL061998,-10,9999,20.3,-71,139
FRAN,980912,18,30,AL061998,-10,9999,15.5,-69,145
FRAN,980913,0,25,AL061998,9999,9999,13.8,-72,145
FRAN,980913,6,20,AL061998,9999,9999,17.2,-66,174
FRAN,980913,12,20,AL061998,9999,9999,18.2,-60,163
FRAN,980913,18,20,AL061998,9999,9999,22.2,-34,9999
GEOR,980915,12,30,AL071998,5,9999,9.3,-110,9999
GEOR,980915,18,30,AL071998,5,9999,5.7,-111,9999
GEOR,980916,0,30,AL071998,15,0,4.1,-112,9999
GEOR,980916,6,30,AL071998,20,0,3.3,-107,9999
GEOR,980916,12,35,AL071998,20,5,4.3,-99,9999
GEOR,980916,18,35,AL071998,30,5,8.7,-95,-65
GEOR,980917,0,45,AL071998,25,10,4.7,-83,9999
GEOR,980917,6,50,AL071998,30,15,8.9,-81,-46
GEOR,980917,12,55,AL071998,30,10,8.5,-78,11
GEOR,980917,18,65,AL071998,25,15,13.4,-67,-33
GEOR,980918,0,70,AL071998,20,15,13,-59,-113
GEOR,980918,6,80,AL071998,15,15,11.1,-51,-108
GEOR,980918,12,85,AL071998,25,15,14.4,-48,-48
GEOR,980918,18,90,AL071998,35,10,5.7,-43,-76
GEOR,980919,0,90,AL071998,40,5,8,-51,-96
GEOR,980919,6,95,AL071998,40,5,8.8,-46,-102
GEOR,980919,12,110,AL071998,20,20,11.4,-29,-73
GEOR,980919,18,125,AL071998,-10,30,10.1,-8,-81
GEOR,980920,0,130,AL071998,-30,20,10,-1,-65
GEOR,980920,6,135,AL071998,-35,10,17.6,-3,-86
GEOR,980920,12,130,AL071998,-35,0,20.6,-12,-107
GEOR,980920,18,115,AL071998,-25,-20,25.2,-24,-127
GEOR,980921,0,100,AL071998,-10,-30,35.8,-40,-110
GEOR,980921,6,100,AL071998,-5,-15,44.8,-41,-83
GEOR,980921,12,95,AL071998,10,-5,34,-50,-81
GEOR,980921,18,90,AL071998,5,-10,21.3,-55,-117
GEOR,980922,0,90,AL071998,-20,9999,21.7,-55,-163
GEOR,980922,6,95,AL071998,-30,9999,24.2,-52,-193
GEOR,980922,12,105,AL071998,-40,9999,7.2,-37,-114
GEOR,980922,18,95,AL071998,-30,9999,10,-42,-138
GEOR,980923,0,70,AL071998,-5,9999,8.7,-70,-117
GEOR,980923,6,65,AL071998,0,9999,13.4,-76,-136
GEOR,980923,12,65,AL071998,5,9999,11.6,-80,-59
GEOR,980923,18,65,AL071998,10,9999,7.6,-76,-63
GEOR,980924,0,65,AL071998,15,0,7.6,-78,-75
GEOR,980924,6,65,AL071998,20,9999,11.2,-79,-148
GEOR,980924,12,70,AL071998,20,9999,12,-76,-81
GEOR,980924,18,75,AL071998,15,9999,9.1,-65,-111
GEOR,980925,0,80,AL071998,10,9999,15,-60,-106
GEOR,980925,6,85,AL071998,5,10,23.7,-55,-112
GEOR,980925,12,90,AL071998,0,10,24,-50,-145
GEOR,980925,18,90,AL071998,0,5,15.4,-48,-98
GEOR,980926,0,90,AL071998,5,0,12.6,-49,-84
GEOR,980926,6,90,AL071998,5,0,19.6,-53,-26
GEOR,980926,12,90,AL071998,5,0,20.8,-51,-73
GEOR,980926,18,90,AL071998,5,0,17.2,-38,-85
GEOR,980927,0,95,AL071998,0,5,20.1,-33,-84
GEOR,980927,6,95,AL071998,-5,5,17,-37,-88
GEOR,980927,12,95,AL071998,-5,0,12.4,-29,-97
GEOR,980927,18,95,AL071998,-30,0,13.2,-21,-73
GEOR,980928,0,95,AL071998,-45,0,12.3,-23,-45
GEOR,980928,6,90,AL071998,-50,-5,13.4,-23,-52
GEOR,980928,12,90,AL071998,-60,-5,15.8,-18,-45
GEOR,980928,18,65,AL071998,-35,9999,16.9,-41,-21
GEOR,980929,0,50,AL071998,-20,9999,18.6,-58,68
GEOR,980929,6,40,AL071998,-10,9999,18.9,-66,138
GEOR,980929,12,30,AL071998,-5,9999,20.2,-67,118
GEOR,980929,18,30,AL071998,-5,9999,19.6,-77,133
GEOR,980930,0,30,AL071998,-5,9999,25.4,-80,161
GEOR,980930,6,30,AL071998,-10,9999,26.2,-70,190
GEOR,980930,12,25,AL071998,9999,9999,20.2,-76,191
GEOR,980930,18,25,AL071998,9999,9999,19.6,-97,178
GEOR,981001,0,25,AL071998,9999,9999,19.6,-99,164
GEOR,981001,6,20,AL071998,9999,9999,22.6,-98,9999
HERM,980917,12,30,AL081998,0,9999,10.4,-117,9999
HERM,980917,18,30,AL081998,0,9999,4.7,-106,9999
HERM,980918,0,30,AL081998,0,0,11.2,-105,130
HERM,980918,6,30,AL081998,0,0,14.2,-113,75
HERM,980918,12,30,AL081998,5,0,12.5,-116,9999
HERM,980918,18,30,AL081998,10,0,13.4,-108,9999
HERM,980919,0,30,AL081998,10,0,17.1,-86,156
HERM,980919,6,30,AL081998,5,0,21,-93,204
HERM,980919,12,35,AL081998,-5,5,23.5,-88,128
HERM,980919,18,40,AL081998,-20,10,19.3,-64,113
HERM,980920,0,40,AL081998,9999,5,27.1,-63,181
HERM,980920,6,35,AL081998,9999,-5,28.4,-77,218
HERM,980920,12,30,AL081998,9999,9999,22.4,-79,177
