NAME,ID,YYMMDD,YEAR,HOUR,Wind_Speed,DELV24,PER,SHRD,POT,PC2
ALEX,AL011998,980727,1998,12,25,5,9999,6.3,-101,-58
ALEX,AL011998,980727,1998,18,25,5,9999,11.2,-102,-10
ALEX,AL011998,980728,1998,0,25,10,0,8.6,-105,-3
ALEX,AL011998,980728,1998,6,25,10,0,12.2,-100,-44
ALEX,AL011998,980728,1998,12,30,5,5,10.5,-89,-46
ALEX,AL011998,980728,1998,18,30,5,5,9.7,-86,36
ALEX,AL011998,980729,1998,0,35,0,5,9.9,-80,-6
ALEX,AL011998,980729,1998,6,35,5,5,10.6,-75,7
ALEX,AL011998,980729,1998,12,35,5,0,5.8,-73,99
ALEX,AL011998,980729,1998,18,35,10,0,7.5,-75,-6
ALEX,AL011998,980730,1998,0,35,10,0,7.9,-79,48
ALEX,AL011998,980730,1998,6,40,5,5,6.1,-83,-19
ALEX,AL011998,980730,1998,12,40,5,5,7.0,-88,-29
ALEX,AL011998,980730,1998,18,45,-5,5,7.9,-84,-53
ALEX,AL011998,980731,1998,0,45,-10,5,6.9,-84,-21
ALEX,AL011998,980731,1998,6,45,-10,0,10.1,-88,2
ALEX,AL011998,980731,1998,12,45,-5,0,9.1,-87,79
ALEX,AL011998,980731,1998,18,40,0,-5,9.5,-91,167
ALEX,AL011998,980801,1998,0,35,0,-10,15.7,-101,192
ALEX,AL011998,980801,1998,6,35,0,-5,15.5,-105,100
ALEX,AL011998,980801,1998,12,40,-5,5,20.3,-101,187
ALEX,AL011998,980801,1998,18,40,-10,5,18.1,-100,55
ALEX,AL011998,980802,1998,0,35,9999,-5,20.7,-103,183
ALEX,AL011998,980802,1998,6,35,9999,-5,21.4,-105,226
ALEX,AL011998,980802,1998,12,35,9999,0,24.4,-105,228
ALEX,AL011998,980802,1998,18,30,9999,-5,18.1,-110,9999
BONN,AL021998,980819,1998,12,25,10,9999,4.4,-115,9999
BONN,AL021998,980819,1998,18,30,5,9999,14.0,-105,-53
