,NAME,ID,MONTH,YEAR,Wind_Speed,DELV24,PER,SHRD,POT,PC2
0,ALEX,AL011998,7,1998,25,5,9999,6.3,-101,-58
1,ALEX,AL011998,7,1998,25,5,9999,11.2,-102,-10
2,ALEX,AL011998,7,1998,25,10,0,8.6,-105,-3
3,ALEX,AL011998,7,1998,25,10,0,12.2,-100,-44
4,ALEX,AL011998,7,1998,30,5,5,10.5,-89,-46
5,ALEX,AL011998,7,1998,30,5,5,9.7,-86,36
6,ALEX,AL011998,7,1998,35,0,5,9.9,-80,-6
7,ALEX,AL011998,7,1998,35,5,5,10.6,-75,7
8,ALEX,AL011998,7,1998,35,5,0,5.8,-73,99
9,ALEX,AL011998,7,1998,35,10,0,7.5,-75,-6
10,ALEX,AL011998,7,1998,35,10,0,7.9,-79,48
11,ALEX,AL011998,7,1998,40,5,5,6.1,-83,-19
12,ALEX,AL011998,7,1998,40,5,5,7,-88,-29
13,ALEX,AL011998,7,1998,45,-5,5,7.9,-84,-53
14,ALEX,AL011998,7,1998,45,-10,5,6.9,-84,-21
15,ALEX,AL011998,7,1998,45,-10,0,10.1,-88,2
16,ALEX,AL011998,7,1998,45,-5,0,9.1,-87,79
17,ALEX,AL011998,7,1998,40,0,-5,9.5,-91,167
18,ALEX,AL011998,8,1998,35,0,-10,15.7,-101,192
19,ALEX,AL011998,8,1998,35,0,-5,15.5,-105,100
20,ALEX,AL011998,8,1998,40,-5,5,20.3,-101,187
21,ALEX,AL011998,8,1998,40,-10,5,18.1,-100,55
22,ALEX,AL011998,8,1998,35,9999,-5,20.7,-103,183
23,ALEX,AL011998,8,1998,35,9999,-5,21.4,-105,226
24,ALEX,AL011998,8,1998,35,9999,0,24.4,-105,228
25,ALEX,AL011998,8,1998,30,9999,-5,18.1,-110,9999
26,BONN,AL021998,8,1998,25,10,9999,4.4,-115,9999
27,BONN,AL021998,8,1998,30,5,9999,14,-105,-53
28,BONN,AL021998,8,1998,30,10,5,10.8,-108,34
29,BONN,AL021998,8,1998,30,15,0,1.2,-112,-34
30,BONN,AL021998,8,1998,35,15,5,7.9,-110,-4
31,BONN,AL021998,8,1998,35,20,5,14.1,-108,-47
32,BONN,AL021998,8,1998,40,25,5,10.2,-97,-43
33,BONN,AL021998,8,1998,45,25,10,10.3,-92,-3
34,BONN,AL021998,8,1998,50,25,10,7.4,-89,5
35,BONN,AL021998,8,1998,55,30,10,9.1,-78,-81
36,BONN,AL021998,8,1998,65,25,15,1.5,-77,-143
37,BONN,AL021998,8,1998,70,25,15,7.9,-70,-145
38,BONN,AL021998,8,1998,75,25,10,1.1,-64,-169
39,BONN,AL021998,8,1998,85,15,15,8.1,-52,-178
40,BONN,AL021998,8,1998,90,10,15,15.7,-45,-156
41,BONN,AL021998,8,1998,95,5,10,25.2,-43,-143
42,BONN,AL021998,8,1998,100,0,10,22.7,-41,-131
43,BONN,AL021998,8,1998,100,0,5,21.7,-42,-114
44,BONN,AL021998,8,1998,100,0,0,27.2,-45,-130
45,BONN,AL021998,8,1998,100,0,0,24.3,-49,-139
46,BONN,AL021998,8,1998,100,0,0,32,-47,-141
47,BONN,AL021998,8,1998,100,0,0,25.5,-45,-133
48,BONN,AL021998,8,1998,100,0,0,29.8,-48,-96
49,BONN,AL021998,8,1998,100,0,0,19.8,-48,-43
50,BONN,AL021998,8,1998,100,0,0,15.8,-48,-4
51,BONN,AL021998,8,1998,100,0,0,9.2,-45,-29
52,BONN,AL021998,8,1998,100,-5,0,5.5,-48,-31
53,BONN,AL021998,8,1998,100,-15,0,5.8,-40,-40
54,BONN,AL021998,8,1998,100,-25,0,7.7,-28,-56
55,BONN,AL021998,8,1998,100,-40,0,3.9,-16,-104
56,BONN,AL021998,8,1998,95,-30,-5,8.3,-19,-68
57,BONN,AL021998,8,1998,85,-10,-15,6.4,-12,-27
58,BONN,AL021998,8,1998,75,-10,9999,5.7,-17,-32
59,BONN,AL021998,8,1998,60,0,9999,4.4,-21,-18
60,BONN,AL021998,8,1998,65,-20,9999,11.3,-10,23
61,BONN,AL021998,8,1998,75,-30,9999,12.6,0,21
62,BONN,AL021998,8,1998,65,-20,0,14.4,-7,59
63,BONN,AL021998,8,1998,60,-15,-15,3.6,-4,58
64,BONN,AL021998,8,1998,45,0,-20,10.9,-14,100
65,BONN,AL021998,8,1998,45,0,-15,20.6,11,85
66,BONN,AL021998,8,1998,45,0,0,24.2,26,78
67,BONN,AL021998,8,1998,45,9999,0,29.6,42,89
68,BONN,AL021998,8,1998,45,9999,0,36.8,38,121
69,BONN,AL021998,8,1998,45,9999,0,48.7,31,135
70,BONN,AL021998,8,1998,45,9999,0,53.6,29,183
71,CHAR,AL031998,8,1998,25,35,9999,5.6,-139,58
72,CHAR,AL031998,8,1998,30,5,9999,6.7,-133,45
73,CHAR,AL031998,8,1998,40,-10,15,14.1,-117,-7
74,CHAR,AL031998,8,1998,45,-20,15,14.5,-96,1
75,CHAR,AL031998,8,1998,60,-40,20,7.3,-81,-13
76,CHAR,AL031998,8,1998,35,-15,9999,15.3,-103,-30
77,CHAR,AL031998,8,1998,30,-10,9999,11.5,-108,22
78,CHAR,AL031998,8,1998,25,-5,9999,10.4,-109,20
79,CHAR,AL031998,8,1998,20,9999,9999,11.7,-124,64
80,CHAR,AL031998,8,1998,20,9999,9999,12.1,-130,65
81,CHAR,AL031998,8,1998,20,9999,9999,3.5,-117,76
82,CHAR,AL031998,8,1998,20,9999,9999,13.4,-107,9999
83,DANI,AL041998,8,1998,25,25,9999,5.4,-104,-30
84,DANI,AL041998,8,1998,30,35,9999,6.5,-96,-32
85,DANI,AL041998,8,1998,35,40,10,7.1,-90,-61
86,DANI,AL041998,8,1998,40,40,10,7.4,-79,-19
87,DANI,AL041998,8,1998,50,40,15,1.7,-67,-16
88,DANI,AL041998,8,1998,65,20,25,5.2,-50,-16
89,DANI,AL041998,8,1998,75,5,25,9.5,-41,-64
90,DANI,AL041998,8,1998,80,0,15,10.4,-40,-87
91,DANI,AL041998,8,1998,90,-5,15,8.4,-37,-93
92,DANI,AL041998,8,1998,85,5,5,9.7,-46,-94
93,DANI,AL041998,8,1998,80,5,-10,17.3,-49,-99
94,DANI,AL041998,8,1998,80,0,-5,14.6,-47,-76
95,DANI,AL041998,8,1998,85,-5,5,10.3,-45,-99
96,DANI,AL041998,8,1998,90,-10,10,11.1,-41,-111
97,DANI,AL041998,8,1998,85,-5,0,3.1,-46,-96
98,DANI,AL041998,8,1998,80,-5,-10,8.9,-54,-80
99,DANI,AL041998,8,1998,80,-10,-5,13.9,-56,-11
100,DANI,AL041998,8,1998,80,-10,0,4.6,-61,-37
101,DANI,AL041998,8,1998,80,-10,0,5.5,-63,-36
102,DANI,AL041998,8,1998,75,-10,-5,3,-58,-44
103,DANI,AL041998,8,1998,70,-5,-10,2.4,-61,-7
104,DANI,AL041998,8,1998,70,-5,-5,7,-58,-78
105,DANI,AL041998,8,1998,70,-5,0,12,-48,-86
106,DANI,AL041998,8,1998,65,5,-5,8.7,-50,-35
107,DANI,AL041998,8,1998,65,10,-5,5.2,-52,40
108,DANI,AL041998,8,1998,65,25,0,6.9,-55,50
109,DANI,AL041998,8,1998,65,20,0,5,-55,-57
110,DANI,AL041998,8,1998,70,15,5,7.7,-50,-49
111,DANI,AL041998,8,1998,75,10,10,9.8,-47,14
112,DANI,AL041998,8,1998,90,-5,20,10.9,-30,-2
113,DANI,AL041998,8,1998,85,5,10,15.3,-26,-13
114,DANI,AL041998,9,1998,85,-5,-5,17.7,-27,-19
115,DANI,AL041998,9,1998,85,-10,0,16.9,-32,-39
116,DANI,AL041998,9,1998,85,-15,0,33,-36,-33
117,DANI,AL041998,9,1998,90,-20,5,26,-28,-77
118,DANI,AL041998,9,1998,80,-10,-5,34,-41,-68
119,DANI,AL041998,9,1998,75,-5,-15,39.7,-46,-72
120,DANI,AL041998,9,1998,70,0,-10,25.8,-53,-56
121,DANI,AL041998,9,1998,70,-5,-5,23,-38,-54
122,DANI,AL041998,9,1998,70,9999,0,26.5,-31,-3
123,DANI,AL041998,9,1998,70,9999,0,27,17,-17
124,DANI,AL041998,9,1998,70,9999,0,32.5,44,-6
125,DANI,AL041998,9,1998,65,9999,-5,31.2,56,2
126,EARL,AL051998,8,1998,30,15,9999,9.1,-128,-3
127,EARL,AL051998,8,1998,35,15,9999,8.8,-115,1
128,EARL,AL051998,9,1998,35,15,5,8.5,-114,-8
129,EARL,AL051998,9,1998,40,10,5,16.4,-117,40
130,EARL,AL051998,9,1998,45,25,10,14,-117,-125
131,EARL,AL051998,9,1998,50,35,10,11.3,-102,-19
132,EARL,AL051998,9,1998,50,30,5,22.9,-102,-37
133,EARL,AL051998,9,1998,50,20,0,25.5,-113,-54
134,EARL,AL051998,9,1998,70,-25,20,32.2,-99,-84
135,EARL,AL051998,9,1998,85,9999,35,25.1,-75,-20
136,EARL,AL051998,9,1998,80,9999,10,31.2,-78,44
137,EARL,AL051998,9,1998,70,9999,-15,31.8,-77,87
138,EARL,AL051998,9,1998,45,9999,9999,32.9,-82,53
139,FRAN,AL061998,9,1998,30,5,9999,18.4,-118,9999
140,FRAN,AL061998,9,1998,30,10,9999,19.9,-115,63
141,FRAN,AL061998,9,1998,30,10,0,15.9,-123,42
142,FRAN,AL061998,9,1998,30,15,0,15.4,-127,41
143,FRAN,AL061998,9,1998,35,10,5,11,-112,74
144,FRAN,AL061998,9,1998,40,15,10,7.1,-95,3
145,FRAN,AL061998,9,1998,40,5,5,2.2,-115,37
146,FRAN,AL061998,9,1998,45,-5,5,0.8,-120,63
147,FRAN,AL061998,9,1998,45,-10,5,7.6,-112,-90
148,FRAN,AL061998,9,1998,55,-25,10,11.2,-100,-77
149,FRAN,AL061998,9,1998,45,-15,0,12,-78,-66
150,FRAN,AL061998,9,1998,40,-10,9999,12.8,-85,-32
151,FRAN,AL061998,9,1998,35,-5,9999,8.2,-118,46
152,FRAN,AL061998,9,1998,30,-5,9999,11.7,-97,90
153,FRAN,AL061998,9,1998,30,-10,9999,17.8,-86,140
154,FRAN,AL061998,9,1998,30,-10,9999,20.3,-71,139
155,FRAN,AL061998,9,1998,30,-10,9999,15.5,-69,145
156,FRAN,AL061998,9,1998,25,9999,9999,13.8,-72,145
157,FRAN,AL061998,9,1998,20,9999,9999,17.2,-66,174
158,FRAN,AL061998,9,1998,20,9999,9999,18.2,-60,163
159,FRAN,AL061998,9,1998,20,9999,9999,22.2,-34,9999
160,GEOR,AL071998,9,1998,30,5,9999,9.3,-110,9999
161,GEOR,AL071998,9,1998,30,5,9999,5.7,-111,9999
162,GEOR,AL071998,9,1998,30,15,0,4.1,-112,9999
163,GEOR,AL071998,9,1998,30,20,0,3.3,-107,9999
164,GEOR,AL071998,9,1998,35,20,5,4.3,-99,9999
165,GEOR,AL071998,9,1998,35,30,5,8.7,-95,-65
166,GEOR,AL071998,9,1998,45,25,10,4.7,-83,9999
167,GEOR,AL071998,9,1998,50,30,15,8.9,-81,-46
168,GEOR,AL071998,9,1998,55,30,10,8.5,-78,11
169,GEOR,AL071998,9,1998,65,25,15,13.4,-67,-33
170,GEOR,AL071998,9,1998,70,20,15,13,-59,-113
171,GEOR,AL071998,9,1998,80,15,15,11.1,-51,-108
172,GEOR,AL071998,9,1998,85,25,15,14.4,-48,-48
173,GEOR,AL071998,9,1998,90,35,10,5.7,-43,-76
174,GEOR,AL071998,9,1998,90,40,5,8,-51,-96
175,GEOR,AL071998,9,1998,95,40,5,8.8,-46,-102
176,GEOR,AL071998,9,1998,110,20,20,11.4,-29,-73
177,GEOR,AL071998,9,1998,125,-10,30,10.1,-8,-81
178,GEOR,AL071998,9,1998,130,-30,20,10,-1,-65
179,GEOR,AL071998,9,1998,135,-35,10,17.6,-3,-86
180,GEOR,AL071998,9,1998,130,-35,0,20.6,-12,-107
181,GEOR,AL071998,9,1998,115,-25,-20,25.2,-24,-127
182,GEOR,AL071998,9,1998,100,-10,-30,35.8,-40,-110
183,GEOR,AL071998,9,1998,100,-5,-15,44.8,-41,-83
184,GEOR,AL071998,9,1998,95,10,-5,34,-50,-81
185,GEOR,AL071998,9,1998,90,5,-10,21.3,-55,-117
186,GEOR,AL071998,9,1998,90,-20,9999,21.7,-55,-163
187,GEOR,AL071998,9,1998,95,-30,9999,24.2,-52,-193
188,GEOR,AL071998,9,1998,105,-40,9999,7.2,-37,-114
189,GEOR,AL071998,9,1998,95,-30,9999,10,-42,-138
190,GEOR,AL071998,9,1998,70,-5,9999,8.7,-70,-117
191,GEOR,AL071998,9,1998,65,0,9999,13.4,-76,-136
192,GEOR,AL071998,9,1998,65,5,9999,11.6,-80,-59
193,GEOR,AL071998,9,1998,65,10,9999,7.6,-76,-63
194,GEOR,AL071998,9,1998,65,15,0,7.6,-78,-75
195,GEOR,AL071998,9,1998,65,20,9999,11.2,-79,-148
196,GEOR,AL071998,9,1998,70,20,9999,12,-76,-81
197,GEOR,AL071998,9,1998,75,15,9999,9.1,-65,-111
198,GEOR,AL071998,9,1998,80,10,9999,15,-60,-106
199,GEOR,AL071998,9,1998,85,5,10,23.7,-55,-112
200,GEOR,AL071998,9,1998,90,0,10,24,-50,-145
201,GEOR,AL071998,9,1998,90,0,5,15.4,-48,-98
202,GEOR,AL071998,9,1998,90,5,0,12.6,-49,-84
203,GEOR,AL071998,9,1998,90,5,0,19.6,-53,-26
204,GEOR,AL071998,9,1998,90,5,0,20.8,-51,-73
205,GEOR,AL071998,9,1998,90,5,0,17.2,-38,-85
206,GEOR,AL071998,9,1998,95,0,5,20.1,-33,-84
207,GEOR,AL071998,9,1998,95,-5,5,17,-37,-88
208,GEOR,AL071998,9,1998,95,-5,0,12.4,-29,-97
209,GEOR,AL071998,9,1998,95,-30,0,13.2,-21,-73
